"Type","Card","Link","SourceTitle","CurrentTitle","Status","Note"
"Старая карточка","Codex plan","https://trello.com/c/gJnFd2wT","Codex plan","Codex plan","Заголовок восстановлен","Название «Внедрение Codex plan и Codex PM» было переработкой Codex, не исходной формулировкой."
"Старая карточка","Прогнать все макеты готовых ТЗ через Codex","https://trello.com/c/awgleR9M","Прогнать все макеты готовых ТЗ через Codex","Прогнать все макеты готовых ТЗ через Codex","Заголовок восстановлен","Служебные варианты JUN-* убраны."
"Старая карточка","Email tempates","https://trello.com/c/e8aFOO8G","Email tempates","Email tempates","Заголовок восстановлен","Оставлена исходная орфография карточки, чтобы не подменять источник."
"Старая карточка","Описать регламент работы на основе Nebula / PbExpert","https://trello.com/c/oZYN15XV","Описать регламент работы на основе Nebula / PbExpert","Описать регламент работы на основе Nebula / PbExpert","Заголовок восстановлен","Расширение смысла вынесено в описание/Blue Panel, не в title."
"Старая карточка","Продумать ЗП для сотрудников","https://trello.com/c/bNsEmcDz","Продумать ЗП для сотрудников","Продумать ЗП для сотрудников","Заголовок восстановлен","Метка «обновить» означает, что Trello-постановка является источником истины."
"Новая карточка Codex","Школа экспертов для первых 5 экспертов","https://trello.com/c/36nRKvdb","JUN-06 — Школа экспертов и обучение первых 5 экспертов","Школа экспертов для первых 5 экспертов","Приведено к человеческому формату","Новая карточка создана Codex; технический код удален."
"Новая карточка Codex","Пакет рабочего места эксперта и агента в админке","https://trello.com/c/bRjDaHwL","JUN-07 — Admin chat и экспертский доступ через роли админки","Пакет рабочего места эксперта и агента в админке","Приведено к человеческому формату","Заголовок описывает результат, детали остаются внутри карточки."
"Новая карточка Codex","Проверка страниц и функций перед запуском рекламы","https://trello.com/c/A4zqo2EI","JUN-08 — Реестр страниц, экранов и P0 QA/failure states","Проверка страниц и функций перед запуском рекламы","Приведено к человеческому формату","P0/QA/failure states убраны из title как технический мусор."
"Старая карточка","Работа с Антоном / дизайн","https://trello.com/c/rlMQoaVy","Работа с Антоном / дизайн","Работа с Антоном / дизайн","Заголовок восстановлен","Карточка оставлена в исходной человеческой формулировке."
"Старая карточка","Новый макет страны / города","https://trello.com/c/PrkrhWqN","Новый макет страны / города","Новый макет страны / города","Без изменений","Переименований не было."
