Область;Что произошло;Кто должен узнать;Что должно сработать;Где видно;Статус
Реклама;Клиент пришел с кампании или органического источника;PM, маркетинг, админ;Сохранить UTM, источник, страницу входа, оффер;Аналитика, карточка заказа, отчет теста;нужно внедрить
Регистрация;Клиент создал аккаунт или вошел;Клиент, админ, аналитика;Сервисное письмо, статус пользователя, источник регистрации;Профиль клиента, аналитика воронки;частично есть
Оффер;Клиент выбрал услугу или эксперта;PM, админ, аналитика;Зафиксировать категорию, цену, профиль, CTA, язык;События воронки, будущий заказ;не доказано
Оплата;Заказ создан, оплата успешна, не прошла, отменена или ожидает;Клиент, админ, поддержка, аналитика;Экран статуса, письмо, запись в заказе, событие для рекламы;Заказ, платежный журнал, поддержка, аналитика;блокер до рекламы
Вопрос клиента;Клиент написал запрос после оплаты;Админ, эксперт/агент, поддержка;Связать вопрос с заказом, создать консультацию, запустить назначение;Карточка консультации, чат, очередь назначения;не доказано
Назначение;Эксперт или агент получил консультацию;Исполнитель, админ, модератор;Внутреннее уведомление, дедлайн, статус “в работе”;Рабочее место эксперта, админская очередь;нужно собрать
Ответ;Эксперт отправил ответ клиенту;Клиент, админ, аналитика;Письмо/уведомление клиенту, закрытие дедлайна, запрос оценки;Чат, история консультации, отчет качества;не доказано сквозно
Просрочка;Эксперт не ответил в срок;Админ, модератор, поддержка, исполнитель;Эскалация, напоминание, возможное переназначение;Операционная панель, очередь проблем;обязательно
Жалоба;Клиент недоволен ответом или не получил услугу;Поддержка, админ, модератор;Создать тикет, привязать заказ, чат, исполнителя и причину;Support queue, карточка заказа, журнал решений;обязательно
Возврат;Запрошен или одобрен refund/credit;Поддержка, админ, финансы, PM;Статус решения, причина, влияние на выручку и качество эксперта;Финансы, поддержка, аналитика качества;обязательно
Повтор;Клиент вернулся за новой консультацией;PM, маркетинг, админ;Отметить repeat, связать с прошлым опытом и источником;Аналитика, LTV, профиль клиента;после первого пути
Начисление;Эксперт/агент заработал за консультацию;Исполнитель, админ, финансы;Создать расчет, статус выплаты, связь с качеством и жалобами;Рабочее место эксперта, финансы, админ;нужно описать
