"ID";"Стратегическое решение";"Статус";"На чем основано";"Что еще не доказано";"Июньская работа";"Следующий proof";"Ссылка"
"SD01";"Сначала доводим универсальную paid P2P платформу, затем накладываем Nebula как первый vertical";"зеленый как решение";"Стратегическая доска, мастер-план, текущий план июня, логика Confideline backend + Oracle/Nebula frontend";"Не доказан полный контрольный заказ на runtime";"Codex plan; Проверка страниц и функций перед запуском рекламы";"Safe control order + QA report";"alexey-launch-status-brief-2026-06-06.html"
"SD02";"Запусковый продукт = оплаченный текстовый запрос с ответом эксперта, а не просто чат или контент";"красный как runtime";"План июня, test order gate, QA brief, capture sheets";"Нет accepted runtime order от клиента до ответа";"Проверка страниц и функций перед запуском рекламы";"order/question/assignment/answer/support/events proof";"test-order-readiness-gate.html"
"SD03";"Dating-наследие используем как универсальные функции, но не тащим dating-логику в консультацию";"желтый";"Backend/admin readiness, workspace handoff, проектная логика YouDate/S-D-N";"Нет доказанного admin route консультации";"Пакет рабочего места эксперта и агента; Прогнать макеты ТЗ";"admin operations proof на safe order";"backend-admin-readiness-map.html"
"SD04";"Oracle/Nebula фронт оценивается только вместе с backend, контентом, ошибками и QA";"желтый";"Screen capture sheet, screen-backend-content gate, дизайн/фронт комментарии пользователя";"Не все экраны связаны с backend runtime proof";"Работа с Антоном / дизайн; Проверка страниц и функций";"screen contract + QA screenshots";"screen-contract-capture-sheet-2026-06-06.html"
"SD05";"Школа экспертов v1 обязательна до первого QA-заказа и трафика";"красный";"Expert school pack, training materials, admission capture sheet";"0/5 accepted experts";"Школа экспертов; Регламент работы";"E01 accepted для QA, затем E01-E05 accepted";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"SD06";"Email/уведомления и support входят в MVP, а не второстепенную доработку";"красный";"No-send sheet, support capture sheet, пользовательские требования по уведомлениям/support";"Нет no-send event log и support_case proof";"Email tempates; Проверка страниц и функций";"no-send timeline + support problem case";"nosend-control-order-capture-sheet-2026-06-06.html"
"SD07";"Документы и checkout trust готовим заранее, но не публикуем без founder/legal/payment decisions";"красный approval gate";"Public docs checkout capture sheet, ограничения пользователя по legal/payment";"Нет seller/provider/descriptor/refund/geography approvals";"Проверка страниц и функций перед запуском рекламы";"HTML-ready package + decision log";"public-docs-checkout-capture-sheet-2026-06-06.html"
"SD08";"Paid traffic запрещен до QA PASS/WARN, capacity proof и purchase analytics proof";"красный";"Proof index, traffic preflight, launch status brief";"Нет QA report, 5 accepted experts, source/order/value analytics";"Проверка страниц и функций перед запуском рекламы; маркетинг preflight";"traffic go/no-go after safe order";"first-traffic-preflight-operating-board.html"
"SD09";"Trello хранит текущие названия и постановки, Blue Panel хранит proof, результат и мастер-план";"желтый процесс";"Trello source-of-truth operating board, комментарии пользователя о названиях";"Нужна постоянная синхронизация после правок/метки обновить";"Codex plan";"Blue Panel result link per completed task";"trello-source-of-truth-operating-board.html"
"SD10";"Ксения не основной аналитик, а ревизор по обучению и эзотерической понятности";"желтый";"Пользовательские уточнения роли Ксении, expert training contour";"Нет заполненной ревизии E01-E05 и материалов после проверки";"Школа экспертов; Регламент работы";"Ksenia review notes + PM accepted/returned verdict";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"SD11";"Маркетинг и LTV/CAC считаем только после связки source/session/order/value/support";"красный";"Purchase analytics capture sheet, launch proof index";"Нет safe order analytics proof";"Маркетинг и первый трафик; purchase analytics";"PAC01-PAC12 accepted";"purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"SD12";"Масштабирование, AI, app, SEO и инфлюенсеры откладываются до доказанного базового пути";"желтый будущий слой";"Strategy board, launch readiness, platform-first priority";"Нет первых продаж, repeat, quality score и capacity";"Не июньский приоритет, кроме preflight";"Return after QA + first traffic data";"launch-readiness-proof-index-2026-06-06.html"
