cardName,oldName,newName,state
Рабочий PM-контур Blue panel и Codex,Проверить актуальность Blue panel как главного PM-контура,"Проверить, что Blue panel остается главным рабочим контуром проекта",incomplete
Рабочий PM-контур Blue panel и Codex,"Сверить стратегию, мастер-план и план июня","Сверить стратегию, мастер-план и план июня",incomplete
Рабочий PM-контур Blue panel и Codex,Обновить ссылки на proof и артефакты,Обновить ссылки на доказательства и итоговые материалы,incomplete
Рабочий PM-контур Blue panel и Codex,"Поддерживать правило: Trello = месячные задачи, Blue panel = детали и доказательства","Закрепить правило: Trello показывает задачи месяца, Blue panel показывает детали и доказательства",incomplete
Рабочий PM-контур Blue panel и Codex,Зафиксировать результат в карточке,Зафиксировать результат выполнения в карточке,incomplete
Реестр готовности связанных ТЗ и макетов,Разобрать 10 вложенных Trello-карточек,Разобрать 10 связанных Trello-карточек,incomplete
Реестр готовности связанных ТЗ и макетов,Отнести каждую к P0/P1/backlog/неактуально,"Определить статус каждой наработки: нужно до запуска, после запуска, позже или неактуально",incomplete
Реестр готовности связанных ТЗ и макетов,Определить связь с backend/admin/Oracle frontend,"Понять связь каждой наработки с бекендом, админкой и дизайном Oracle/Nebula",incomplete
Реестр готовности связанных ТЗ и макетов,Сформировать co2p-пакеты для задач Игорю,"Выделить задачи, которые можно передать Игорю на внедрение",incomplete
Реестр готовности связанных ТЗ и макетов,Опубликовать результат на Blue panel,Опубликовать результат на Blue panel,incomplete
Карта обязательных email-уведомлений и рассылок,Сверить текущий email web-контур,Сверить текущий веб-контур email-шаблонов,incomplete
Карта обязательных email-уведомлений и рассылок,Собрать список P0-событий клиента/эксперта/admin/support/payment,"Собрать события, где нужны письма и уведомления для клиента, эксперта, админа, поддержки и оплаты",incomplete
Карта обязательных email-уведомлений и рассылок,Описать переменные и ограничения персональных данных,"Описать переменные, тексты и ограничения по персональным данным",incomplete
Карта обязательных email-уведомлений и рассылок,Разделить transactional/operational/marketing уведомления,"Разделить служебные письма, рабочие уведомления и маркетинговые рассылки",incomplete
Карта обязательных email-уведомлений и рассылок,Сформировать no-send QA чек-лист,Сформировать проверку без реальной отправки писем клиентам,incomplete
Регламент работы экспертов и агентов,Извлечь материалы Nebula/PbExpert и записи Ксении,Извлечь материалы Nebula/PbExpert и записи Ксении,incomplete
Регламент работы экспертов и агентов,Разделить универсальный регламент и Nebula-приложение,Разделить универсальные правила платформы и приложение для Nebula,incomplete
Регламент работы экспертов и агентов,"Описать SLA, качество, продажи, запреты и escalation","Описать срок ответа, качество, продажи, запреты и спорные ситуации",incomplete
Регламент работы экспертов и агентов,Добавить критерии QA ответа эксперта,Добавить критерии проверки качества ответа эксперта,incomplete
Регламент работы экспертов и агентов,Передать Ксении как ревизору понятности,Передать Ксении задачу на ревизию понятности,incomplete
Модель работы с агентами и оплатой,Определить роли запуска,"Определить роли, которые нужны на старте",incomplete
Модель работы с агентами и оплатой,"Описать что оплачивается: смена, сессия, ответ, качество","Описать, за что платим: смена, сессия, ответ, качество",incomplete
Модель работы с агентами и оплатой,Сравнить фикс/процент/гибрид,"Сравнить варианты оплаты: фикс, процент и гибрид",incomplete
Модель работы с агентами и оплатой,Добавить бонусы и санкции,"Добавить бонусы, штрафы и санкции",incomplete
Модель работы с агентами и оплатой,Вынести founder decision по выбранной модели,Вынести решение основателя по выбранной модели,incomplete
Школа экспертов для первых 5 экспертов,"Собрать все уроки из Trello, включая комментарии и вложения","Собрать все уроки из Trello, включая комментарии и вложения",incomplete
Школа экспертов для первых 5 экспертов,Разделить универсальный модуль и Nebula-модуль,Разделить универсальный модуль обучения и модуль Nebula,incomplete
Школа экспертов для первых 5 экспертов,Описать тест допуска и симуляцию ответа,Описать тест допуска и тренировочный ответ эксперта,incomplete
Школа экспертов для первых 5 экспертов,Сделать журнал прохождения первых 5 экспертов,Сделать журнал прохождения обучения для первых 5 экспертов,incomplete
Школа экспертов для первых 5 экспертов,Сформировать задачу Ксении на ревизию,Сформировать задачу Ксении на ревизию материалов,incomplete
Пакет рабочего места эксперта и агента в админке,Описать paid session lifecycle,Описать жизненный цикл платной консультации,incomplete
Пакет рабочего места эксперта и агента в админке,Определить вкладки роли эксперт/агент/модератор/support,"Определить вкладки и доступы для эксперта, агента, модератора и поддержки",incomplete
Пакет рабочего места эксперта и агента в админке,Связать с текущими admin routes,Связать рабочее место с текущими разделами админки,incomplete
Пакет рабочего места эксперта и агента в админке,Описать состояния новой/назначенной/просроченной/закрытой сессии,"Описать состояния консультации: новая, назначенная, просроченная, закрытая",incomplete
Пакет рабочего места эксперта и агента в админке,Сформировать QA-сценарии для тестировщика,Сформировать сценарии проверки для тестировщика,incomplete
Проверка страниц и функций перед запуском рекламы,Собрать live/backend/admin route proof,"Собрать доказательства по текущему сайту, бекенду и админке",incomplete
Проверка страниц и функций перед запуском рекламы,Сопоставить с Oracle/Nebula design map,Сопоставить страницы с дизайном Oracle/Nebula,incomplete
Проверка страниц и функций перед запуском рекламы,Добавить слой контента для каждого экрана,Добавить слой контента для каждого ключевого экрана,incomplete
Проверка страниц и функций перед запуском рекламы,Описать P0 failure states до трафика,Описать проблемные сценарии до запуска рекламы,incomplete
Проверка страниц и функций перед запуском рекламы,Выделить co2p-задачи из пробелов,"Выделить задачи, которые нужно поставить из найденных пробелов",incomplete
Список правок дизайна Oracle/Nebula для Антона,Проверить главную Blue panel глазами Заказчика,Проверить главную Blue panel глазами Заказчика,incomplete
Список правок дизайна Oracle/Nebula для Антона,Проверить JUN-08 и дизайн/backend/content/QA стандарт,"Проверить страницу запуска рекламы и стандарт связи дизайна, бекенда и контента",incomplete
Список правок дизайна Oracle/Nebula для Антона,Проверить формулировки Trello-карточек,Проверить формулировки Trello-карточек,incomplete
Список правок дизайна Oracle/Nebula для Антона,"Отметить перегруз, слепые зоны и неочевидные клики","Отметить перегруз, слепые зоны и неочевидные клики",incomplete
