qa_step,existing_base,runtime_gap,igor_action,required_proof,status
"Offer and checkout","Order model and payment fields exist","No proven test/sandbox/mock order without real charge","Confirm safe test order and test marker","order id, amount/currency, test status, no real charge","red"
"Order to question","Order data and messages exist","No proven question entity linked to order/service","Link client question with order_id, service/session id, language and category","client screenshot and admin order/question with same id","red"
"Question to service session","Order and admin order exist","No proven consultation/session lifecycle card","Show/create service_session/task with order, question, client, status, deadline","admin session card with order/question/status/deadline","red"
"Assignment","User/admin base and admin message actions exist","No proven expert/agent assignment to consultation","Create assignment and history","admin assignment and executor workspace screenshots","red"
"Expert/agent workspace","Admin MessageController has chat/send/translate","Executor task, deadline, question and answer field not proven","Bind workspace to service_session and executor role","executor screenshot with question, deadline, answer field, answer sent","red"
"No-send events","NotificationManager/appMailer exist; fake tag can block email","No event log/preview/no-send marker proven for consultation lifecycle","Show event journal and preview without real send","no-send event log for order/question/assignment/answer/support/closed","red"
"Support/problem state","Report/Block base exists","Platform report is not paid consultation support ticket","Link ticket to order/session/chat/expert and decision status","support ticket with order context and decision","red"
"Quality/compensation","User/balance/order base exists","Test compensation and quality note not proven","Show compensation preview and quality marker without real payout","quality/compensation preview by test session","yellow"
"Admin timeline","Admin order, messages and logs exist","Unified consultation timeline not proven","Show timeline events from created to closed","admin event/timeline screen or linked report logs","yellow"
"Rollback/test data","Order has data; users can be tagged","Test data isolation from sales/payout/analytics not proven","Show test_run_id and test data filter","test marker/filter screenshot and rollback rule","yellow"
