"N","Requirement","Status","Needed","Evidence","Verdict","Next","Link"
"1","Доказательная база текущего состояния проекта","Желтый","Реестры источников плюс фактические proof по сайту","Есть proof ledger, readiness, Trello snapshot, source inventories, но нет runtime order/session/support/QA","База собрана как PM-контур, но не доказывает работу продукта","Добавлять только факты контрольного заказа и external proof","pm-current-state-proof-ledger.html"
"2","Backend Confideline","Желтый","Один проверенный admin/backend путь заказа","Есть backend/admin inventory и контракт Игорю AC01-AC09","Backend является базой, но сквозная услуга не доказана","Игорь показывает AC01-AC09 на безопасном test order","igor-test-order-acceptance-contract.html"
"3","Frontend/design Oracle/Nebula","Желтый","Экран -> действие -> backend -> контент -> error states -> QA","Есть screen/backend/content inventory и дизайн-контур","Дизайн-слой подготовлен, но не является runtime proof","Закрыть экранные контракты paid-flow и связать с test order","frontend-design-backend-evidence-inventory.html"
"4","Trello как плановый источник","Желтый","Карточки с постановкой, результатом и proof-ссылкой после выполнения","Есть read-only snapshot, июньские карточки и правило не переименовывать без команды","Trello синхронизирован частично: это источник намерения, не proof","После каждого результата добавлять Blue Panel proof в Trello без перетирания постановки","trello-current-source-snapshot.html"
"5","Blue Panel как контроль проекта","Зеленый","Понятная иерархия, статусы, proof, ссылки, публикация","Главная панель, для Алексея, readiness, handoff, burn-down, live-audit опубликованы","Контур контроля есть и может использоваться как cockpit","Поддерживать актуальность после каждого факта","../index.html"
"6","Документы, политики, дисклеймеры, checkout","Желтый","HTML-ready документы и решения legal/payment/founder","Есть legal/checkout evidence inventory","Пакет готовится, финальная публикация заблокирована решениями","Готовить тексты, но не публиковать checkout/legal финал до gate","legal-checkout-docs-evidence-inventory.html"
"7","Обучение и школа экспертов","Желтый","Материалы, тест, регламент, ревизия, admission journal","Есть school/regulation/admission пакет и extracted materials","Методология есть, прохождение первыми экспертами не доказано","Передать Ксении ревизию и заполнить журнал по 5 экспертам","first-five-expert-admission-execution-pack.html"
"8","Первые 5 экспертов","Красный","По каждому эксперту: обучение, тест, пробный ответ, SLA, PM verdict","Есть структура E01-E05 и EP01-EP10, но слоты пустые","Нельзя считать экспертский контур готовым","Заполнить реальные статусы 5 экспертов и capacity","first-five-expert-admission-journal.html"
"9","Экспертский/агентский рабочий контур","Красный","Assignment, workspace, answer, status, quality/compensation preview","Есть handoff и proof register","Нет runtime доказательства работы исполнителя","Проверить workspace на test order","expert-runtime-proof-register.html"
"10","Клиентский путь платной консультации","Красный","Offer -> test checkout/order -> question -> expert answer -> support/follow-up","Есть runtime proof master PF00-PF12","Главный запусковый proof отсутствует","Провести безопасный контрольный заказ после READY gate","runtime-proof-master-register.html"
"11","Админка и операционная видимость","Красный","Админ видит order, question, session/task, assignment, events, support, final status","Есть admin control gate","Пока не доказано на рабочем заказе","Получить скрины/логи admin route от Игоря/QA","admin-control-order-gate.html"
"12","Support и проблемные ситуации","Красный","Problem state связан с order/session/chat/expert/reason/decision","Есть support/failure gate","Failure path не доказан","Смоделировать просрочку/жалобу на контрольном заказе","support-failure-state-gate.html"
"13","Email, события, уведомления","Красный","No-send event log по ключевым событиям","Есть notification/no-send gate и event matrix","Пакет есть, runtime event log отсутствует","Проверить no-send события на test order","notification-event-nosend-gate.html"
"14","QA перед запуском","Красный","PASS/WARN/STOP отчет по рабочему сайту","Есть QA brief и public report shell","QA еще не может подтвердить запуск","Запустить QA после READY от Игоря","qa-test-order-execution-brief.html"
"15","Маркетинг и первый трафик","Красный","QA PASS/WARN, capacity, legal/payment/founder gates, CAC/LTV preflight","Есть marketing inventory и first traffic gates","Готовить можно, запускать нельзя","Не покупать трафик до runtime proof и capacity","marketing-launch-evidence-inventory.html"
"16","Светофор готовности","Зеленый","Единый критерий красный/желтый/зеленый и вес доказательств","Есть evidence trust standard, readiness и objective live-audit","Метод классификации задан","Пересчитывать статусы только по новым фактам","pm-evidence-trust-standard.html"
"17","Блокеры, владельцы и дальнейшие шаги","Зеленый","Owner map, burn-down, handoff, current next action","Есть blocker burn-down и co2p handoff board","Управляющая инфраструктура есть","Двигаться по красным блокерам в установленном порядке","launch-blocker-burndown-board.html"
"18","Мастер-план с proof-ссылками","Зеленый","Короткая версия для Заказчика и подробная proof-база","Есть alexey master plan, june plan, launch readiness, proof links","План можно показывать и использовать для согласования","Обновлять после runtime QA и решений","alexey-master-plan.html"
"19","Автономная PM-работа","Зеленый","PM закрывает все, что не требует внешнего факта","Есть autonomous workstream, handoff, proof standards","PM может продолжать автономно, но не подменять runtime facts","Закрывать желтые подготовительные пакеты и ждать только реальные external/runtime proof","pm-autonomous-workstream.html"
