Задача,Название в Trello,PM-пакет,ТЗ/передача,Внедрение,Runtime proof,Готовность к запуску,Следующий шаг
JUN-01,Codex plan,есть,процесс ведется,Blue Panel обновляется,не требуется как сайт-функция,нужно вести дальше,"Обновлять Blue Panel и Trello после каждого закрытого пакета"
JUN-02,Прогнать все макеты готовых ТЗ через Codex,есть,очередь есть,не доказано,не доказано,только подготовка,"Выдавать Игорю конкретные пакеты по приоритету"
JUN-03,Email tempates,есть,готово как пакет,не доказано,no-send не пройден,нельзя для запуска,"Передать Игорю и проверить no-send режимом"
JUN-04,Описать регламент работы на основе Nebula / PbExpert,есть v1,нужна ревизия,не внедрено в обучение,не проверено на 5 экспертах,как документ,"Отдать Ксении на ревизию и применить к школе"
JUN-05,Продумать ЗП для сотрудников,есть модель,нужны решения,не внедрено,не проверено,рамка готова,"Утвердить параметры модели и legal/payment path"
JUN-06,Школа экспертов для первых 5 экспертов,есть v1,готово к ревизии,не внедрено как панель,допуск не доказан,методика есть,"Провести ревизию Ксении и заполнить журнал допуска"
JUN-07,Пакет рабочего места эксперта и агента в админке,есть,готово как ТЗ,runtime-связь не доказана,не проверено,нельзя для запуска,"Передать Игорю вместе с test order proof"
JUN-08,Проверка страниц и функций перед запуском рекламы,есть,готово к test order,не доказано,главный блокер,реклама запрещена,"Запустить тестовый заказ без реальных списаний и писем"
JUN-UX,Работа с Антоном / дизайн,есть пакет,нужно согласование,правки не внесены,не проверено,UX-контур готов,"Начать с платной воронки и повторной сверки"
GEO,Новый макет страны / города,отдельно,вне Nebula,не оценивалось,не относится,отдельный поток,"Оформить отдельный geo-пакет при необходимости"
