Перечень необходимого,Комментарий,десктоп,Мобилка
Область эксперта справа,Скрыть ее со страницы чата. Открывать в модальном окне,оставть попап окно,выезжает
Список диалогов слева,"Есть аватар, имя, время, превью сообщения, unread badge, online indicator. Нужно доработать состояния: muted, Block - спрятать в 3 точки",ок,
Online/offline индикатор в списке,"Есть зелёная точка у некоторых аватаров. Нужно добавить состояния online/busy/offline, deatevated",,
Pinned / закреплённое сообщение,"Вверху есть фиолетовый закреплённый/промо-блок с pin icon. Хорошо. Нужно явно показать: это pinned message, промо эксперта или стартовый оффер?",показать как выглядят разные рамки,
Видео-превью,Есть play button на превью видео прикрепленное сообщение. Нужно показать состояние воспроизведения и fullscreen.,видео прикрепленное к сообщению,
Статус сообщения Read/Delivered,"Есть Read и галочки. Нужно добавить Sending, Sent, Delivered, Failed.",,
Контекстное меню сообщения,Показывать через 3 точки добавить эмодзи,,
Saved message, ПОКАЗАТЬ СТРАНИЦУ SAVED MESSAGE,,
Search inside chat,"Есть иконка поиска в header. Но скорее всего нужно разместить закрытое состояние, в виде лупы, использовать верхнюю часть эффективно, отдельно показать раскрытое состояние поиска по переписке.",,
Send button,Есть иконка отправки. Нужно показать disabled/active/loading.,,
Attachment button,"Есть скрепка. Нужно показать меню вложений: photo, file, camera, gallery.",,
Emoji button,Есть. Нужно показать emoji picker или хотя бы состояние открытия.,,
Composer с вложениями,Есть состояние с превью вложений. Нужно добавить uploading/progress/error/remove.,,
Состояние пустого чата,"Есть карточка Ready? Start a live chat. Хорошо. Нужно добавить CTA и объяснить, что будет после первого сообщения.",,
Приветственный/стартовый экран,"Есть. Но он слишком общий. Для эзотерики стоит добавить выбор намерения: love, relationship, tarot, astrology, compatibility.",https://prnt.sc/EZoniuc1MH_z,
Скролл внутри чата,"Есть длинный чат, но не видно кнопки scroll to bottom. Нужно добавить.",,
,,,
,Показать аудио файл в чате и запись голосового сообщения,,
