"layer","item","status","evidence","next_action","owner_role","p0"
"Platform Core","Профили и поиск исполнителей","partial","dating/profile/search base exists in Confideline admin/source evidence","Адаптировать семантику: исполнитель, категория, услуга, цена, доступность, язык","Backend + Product","yes"
"Platform Core","Чат и сообщения","partial","admin route /en/admin/message/chat; Trello chat cards; PbExpert chat lifecycle","Связать с paid-session state, SLA, expert queue, transcript","Backend + co2p","yes"
"Platform Core","Оплата и заказ","partial","admin orders, balance transactions, payment settings","Сделать тестовый paid-service lifecycle без реальных платежей","Backend + Finance","yes"
"Platform Core","Email templates and notifications","partial","admin email-template route; Trello email cards; P0 event matrix","Собрать единый email/notification co2p пакет","PM + Backend","yes"
"Platform Core","Support/tickets/refunds","partial","admin support route; PBExpert refund risk","Связать ticket с order/session/client/expert и refund decision tree","Support + Backend","yes"
"Platform Core","Roles/RBAC","partial","admin roles routes","Определить роли expert, agent, moderator, support, finance и видимость вкладок","PM + Backend","yes"
"Platform Core","Languages/translation","partial","admin languages route; Trello translator card","Описать P0 язык: English client, Russian ops, AI/human translation boundaries","PM + Backend","yes"
"Ops Layer","Expert school","partial","Trello Nebula training card, уроки 1/2/6, PbExpert training/certification docs","Собрать красивую панель школы и тест допуска 5 экспертов","PM + Ksenia reviewer","yes"
"Ops Layer","Expert regulation","partial","PbExpert expert regulation, shift SOP, QA checklist","Сделать owned YouDate/N regulation без копирования спорных практик","PM","yes"
"Ops Layer","Admin operational visibility","partial","54 admin routes exist","Сделать единый P0 dashboard: sessions, SLA, payments, refunds, support, quality","PM + Backend","yes"
"Ops Layer","Quality control","partial","PbExpert QA checklist, low-rating event in matrix","Сделать рубрику ответа, QA queue, sanctions, examples","PM + QA","yes"
"Ops Layer","Failure states","missing_structured","known from PM audit","Создать failure-state matrix and QA scenarios","PM + QA","yes"
"Nebula Layer","Public offer and trust","partial","Oracle/Nebula design exists; Confideline live dating-oriented","Собрать Nebula copy/trust/disclaimer only after platform flow is stable","Product + Frontend","yes"
"Nebula Layer","Legal docs HTML package","partial","legacy docs exist; external legal sources identified","Prepare variable-based HTML package; legal approval gate remains","PM + Legal","yes"
"Marketing","CAC/LTV and traffic readiness","partial","market research and competitor notes exist","Сделать unit economics model and launch stop rules before traffic","PM + Marketing","yes"
"QA","Pre-launch e2e proof","partial","QA tester reports exist, some runtime readiness fails","Сделать role-based P0 test suite and screenshots proof","QA + PM","yes"
