"Priority";"Screen";"Problem";"Fix";"Why";"Source";"Link"
"P0";"Путь к платной консультации после онбординга";"После регистрации клиент не должен снова угадывать, что делать дальше.";"Показать поток: подходящие эксперты → выбор формата консультации → понятный переход к оплате без лишней анкеты.";"Это главный коммерческий путь Nebula. Если он непонятен, нельзя запускать трафик.";"Вторая волна, slide10";"https://cutthreat.github.io/nebula-lk-paid-funnel-desktop/matching-payment-example.html#match"
"P0";"Оффер перед оплатой";"Перед оплатой клиенту нужно понимать, что он покупает, срок, формат, эксперт, цена и что будет после оплаты.";"Сделать экран оффера перед оплатой: выбранный эксперт, пакет, цена, срок ответа/сессии, что входит, CTA оплаты, ссылка на поддержку/условия.";"Снижает недоверие, возвраты и брошенные оплаты.";"Вторая волна, slide11";"https://cutthreat.github.io/nebula-lk-paid-funnel-desktop/matching-payment-example.html#payment"
"P0";"Fallback после выбора эксперта/оплаты";"Если эксперт стал недоступен или оплата не прошла, пользователь не должен попадать в тупик.";"Показать единый fallback: выбор сохранен, объяснение причины, следующий шаг — выбрать другого эксперта, повторить оплату, вернуться позже, обратиться в support.";"Это обязательный failure state перед трафиком.";"Вторая волна, slide12";"https://cutthreat.github.io/nebula-lk-paid-funnel-desktop/matching-payment-example.html#fallback"
"P0";"Платная консультация в чате";"Обычный чат не закрывает платную услугу: нужен статус сессии, оплата, подключение, баланс/пакет, transcript, support.";"Развести состояния: оффер, оплата, подключение, живая сессия, ожидание ответа, завершение, стенограмма, поддержка.";"Связывает дизайн с service_session и рабочим местом эксперта.";"Вторая волна, slide13";"https://cutthreat.github.io/nebula-lk-paid-funnel-desktop/chat-paid-session-mockups.html"
"P0";"Кнопка на недоступном эксперте";"Серый/заблокированный chat выглядит как ошибка и требует объяснения.";"Для недоступного эксперта показывать понятную карточку и CTA “Book session”/“Запланировать консультацию”; если оффлайн — показывать ETA или альтернативный шаг.";"Сохраняет коммерческий смысл карточки и не пугает клиента.";"Вторая волна, slide1/slide2";"https://cutthreat.github.io/nebula-lk-paid-funnel-desktop/matching-payment-example.html#match"
"P1";"Активный раздел и навигация";"Активный раздел похож на обычную ссылку, пользователь не понимает, где находится.";"Сделать активный пункт визуально отличимым: фон/маркер/состояние, единый стиль для кабинета и списков.";"Снижает когнитивную нагрузку в личном кабинете.";"Вторая волна, slide1/slide2";""
"P1";"Фильтры экспертов";"Есть иконка фильтра, но не показано раскрытое и активное состояние.";"Показать dropdown фильтра и активный фильтр-чип/иконку; на mobile — понятное выезжающее состояние.";"Выбор эксперта — ключевой шаг, фильтр должен быть очевидным.";"Вторая волна; первая волна messenger";""
"P1";"Цвет и визуальный фокус карточек";"Кислотный зеленый с белым и равномерное полотно экспертов размывают главное.";"Усилить иерархию: онлайн/доступность как главный акцент, разные подложки/секции, спокойнее цветовые акценты.";"Клиент быстрее выбирает, а экран выглядит надежнее.";"Вторая волна, общий комментарий";""
"P1";"Список диалогов";"Есть базовые элементы, но не закрыты muted, blocked, unread, online/busy/offline/deactivated.";"Отрисовать состояния списка диалогов: unread, muted, blocked в меню 3 точки, online/busy/offline/deactivated.";"Нужен нормальный рабочий мессенджер для клиента и эксперта.";"Первая волна, Google Sheet";"artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv"
"P1";"Статусы сообщений";"Read есть, но не показаны sending/sent/delivered/failed.";"Добавить визуальные состояния отправки и ошибки сообщения.";"Без failed/sending пользователь не понимает, дошло ли сообщение.";"Первая волна, Google Sheet";"artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv"
"P1";"Composer и вложения";"Есть кнопки, но не показаны меню вложений, загрузка, progress, error, remove.";"Показать attachment menu, preview вложения, uploading/progress/error/remove, disabled/active/loading send button.";"Нужно для реального чата, QA и поддержки.";"Первая волна, Google Sheet";"artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv"
"P2";"Пустой чат и стартовый экран";"Ready? Start a live chat слишком общий для эзотерики.";"Добавить выбор намерения: love, relationship, tarot, astrology, compatibility; объяснить, что будет после первого сообщения.";"Помогает клиенту сформулировать запрос и повышает конверсию.";"Первая волна, Google Sheet";"artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv"
"P2";"Pinned / промо-блок";"Не ясно, это pinned message, промо эксперта или стартовый оффер.";"Развести рамки/лейблы для pinned message, promo expert, starter offer.";"Иначе пользователь путает системное сообщение, рекламу и контент эксперта.";"Первая волна, Google Sheet";"artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv"
