ID,Что проверяет QA,Что делает,Обязательные данные,Что вернуть как proof,Accepted,Returned/STOP,Связанный лист,Статус
QAC01,READY gate,Проверяет можно ли стартовать тест,"safe_order_ready; expert_ready; no_send_ready; admin_ready",Скрин/ссылка ready checklist,"Все входы READY или WARN с разрешением PM","Нет safe order или accepted эксперта",qa-start-readiness-checklist,ждем proof
QAC02,Landing / offer / docs,Открывает коммерческую страницу и CTA,"landing_url; CTA; docs links; disclaimer block",Скрин landing + CTA/docs,"Покупатель понимает услугу и ограничения","Dating/subscription legacy или нет docs/disclaimer",PDC/SCR01,ждем proof
QAC03,Auth без потери покупки,Проходит guest/auth и возвращается к заказу,"test_user_id; session_id; return_to",Скрины до/после auth,"Выбранная услуга не теряется","Путь сброшен",SCR02,ждем proof
QAC04,Пакет и safe checkout,Выбирает услугу и создает заказ,"package_id; value; currency; order_id; test marker",Скрин checkout/order + no real charge,"Order создан safe/test","Риск реального платежа или нет order_id",PAC/SCR04-SCR05,ждем proof
QAC05,Вопрос клиента,Вводит вопрос и контекст,"question_id; order_id; session_id; client_id",Скрин клиента и админки,"Вопрос связан с заказом","Вопрос потерян или отдельно от order",SCR06,ждем proof
QAC06,Назначение исполнителя,Проверяет эксперта/анкету/SLA,"performer_id; profile_id; assigned_at; deadline",Скрин assignment/deadline,"Есть исполнитель и срок","Заказ без владельца или SLA",EA/AOC03,ждем proof
QAC07,Рабочее место эксперта,Заходит под ролью исполнителя,"task_id; question_id; deadline; answer form",Скрин workspace,"Исполнитель может ответить внутри сайта","Эксперт не видит задачу",AOC04/SCR09,ждем proof
QAC08,Ответ и видимость клиенту,Публикует тестовый ответ,"answer_id; order_id; client view; admin view",Скрины expert/client/admin,"Ответ связан с заказом и виден клиенту","Ответ не доставляется или не связан",SCR08/AOC08,ждем proof
QAC09,No-send события,Проверяет event log preview,"event_id; template; variables; recipient; send_mode",NSC01-NSC10 или no-send log,"События есть реальные письма не уходят","Нет preview/log или реальная отправка",NSC/AOC07,ждем proof
QAC10,Support/problem state,Создает жалобу/просрочку,"support_case_id; reason; owner; decision; closure",SPC01-SPC10 или скрин кейса,"Проблема управляется и закрывается","Support не связан с order или нет владельца",SPC/AOC06,ждем proof
QAC11,Админская видимость,Проверяет lifecycle в админке,"order timeline; SLA; events; support; answer; owner",AOC01-AOC15 или order route,"Админ видит путь без ручного поиска","Данные разбросаны",AOC,ждем proof
QAC12,Purchase analytics,Проверяет source/session/order/value,"source; session_id; order_id; value; currency; daily row",PAC01-PAC12 или analytics row,"Первый трафик можно измерять","Нет source/order/value связки",PAC,ждем proof
QAC13,Failure states,Проверяет минимум 3 сбоя,"failure_type; expected message; recovery action",Скрины ошибки + next action,"Пользователь не попадает в тупик","Ошибка без support/action",SCR/AOC/SPC,ждем proof
QAC14,Публичный QA-отчет,Публикует отчет,"qa_report_url; screenshots; raw evidence; verdict",Ссылка на отчет,"PM и Игорь могут воспроизвести","Скрины в переписке без отчета",QA report shell,ждем proof
QAC15,Финальный verdict,Ставит PASS/WARN/STOP,"verdict; blockers; owners; retest path; launch impact",Итоговый блок readiness,"Понятно что зеленеет и что блокирует","Нет решения или общий комментарий",Launch readiness,ждем proof
