ID,Зона,Что должно быть видно,Связанные данные,Что вернуть как proof,Accepted,Returned/STOP,Владелец,Статус
AOC01,Единая карточка консультации,"Заказ клиент вопрос исполнитель срок чат события support итог","order_id; client_id; question_id; performer_id; event_id",Admin link/screenshot,"Lifecycle виден в одном месте или связанными вкладками","Данные разбросаны и требуют ручного поиска",Игорь + PM,ждем proof
AOC02,Очередь новых заказов,"Новые оплаченные/test без вопроса без назначения следующий шаг","order_id; payment/test status; question status; source",Скрин очереди с test order,"Админ видит что нужно сделать сейчас","Заказ есть но статус действия неясен",Игорь + Support,ждем proof
AOC03,Назначение эксперта/агента,"Кто назначен анкета язык доступность нагрузка SLA","performer_id; profile_id; assigned_at; language; capacity",Скрин назначения на safe order,"Исполнитель назначен и срок ответа запущен","Исполнитель выбран вне системы или без связи с order",Игорь + Admin,ждем proof
AOC04,Рабочее место исполнителя,"Задачи вопрос клиентский контекст срок поле ответа подсказки","task_id; question_id; deadline; profile_id",Скрин под ролью эксперта/агента,"Исполнитель может ответить внутри сайта","Только админ видит задачу эксперт не видит",Игорь + QA,ждем proof
AOC05,Контроль SLA и просрочки,"deadline soon overdue overdue escalation reassignment","deadline_at; answer_at; overdue_status; escalation_owner",Скрин таймера/очереди просрочек,"Просрочка видна и имеет владельца/действие","Срок известен только вручную",Игорь + Support,ждем proof
AOC06,Support/problem state,"Кейс связан с заказом чатом исполнителем причиной решением","support_case_id; order_id; reason; owner; decision",SPC01-SPC10 или скрин support case,"Проблема управляется как кейс","Жалоба без order/support_case_id",Support + QA + PM,ждем proof
AOC07,No-send события,"События заказа вопроса назначения ответа support без отправки","event_id; template; variables; recipient_role; send_mode",NSC01-NSC10 или event log,"Preview есть реальные письма не уходят","Нет event log или ушла реальная отправка",Игорь + QA,ждем proof
AOC08,Качество ответа,"Рубрика оценки замечания итог связь с экспертом","answer_id; quality_score; reviewer; verdict",Скрин review/scorecard,"Качество влияет на допуск/обучение/санкции","Оценка нормально без критериев",PM + Ксения + QA,ждем proof
AOC09,Модерация предупреждения и баны,"Warning hide visible ban shadow restriction reason audit log","moderation_action_id; target_id; reason; actor_id; scope",Скрин тестового moderation action,"Действие имеет причину владельца срок audit trail","Бан/скрытие без причины или журнала",PM + Игорь,ждем proof
AOC10,Ранжирование и поднятие экспертов,"Качество SLA жалобы доступность boost/freeze anti-abuse","expert_id; score inputs; boost_reason; visibility_status",Скрин/описание P0 visibility model,"Понятно почему эксперт выше/ниже и кто вмешался","Ручная накрутка без причины и audit trail",PM + Игорь + Founder,ждем proof
AOC11,Языки и переводы,"Язык клиента эксперта ответа перевод ответственность","client_lang; expert_lang; answer_lang; translation_flag",Скрин полей языка или P0 rule,"Языковая связка понятна для QA/support","Язык ответа не контролируется",PM + Игорь,ждем proof
AOC12,Начисления и удержания,"Preview начисления hold bonus deduction payout status","order_id; performer_id; earning_preview; hold_reason",Скрин начисления без выплаты,"Стоимость работы исполнителя видна для экономики","Начисления вручную и не связаны с order",PM + Founder,ждем proof
AOC13,Аналитика эксперта/агента,"Ответы скорость просрочки жалобы качество выручка repeat","expert_id; answer_count; avg_time; complaints; revenue",KPI row по test order/первым 5,"PM видит performance","KPI не связан с консультациями",PM + Игорь,ждем proof
AOC14,Ежедневный dashboard PM/Admin,"Новые без вопроса без назначения просрочено жалобы ответы выручка нагрузка","daily_date; queues_count; blockers; owner; next_action",Скрин или report row дня,"Утром видно чем управлять","PM собирает состояние вручную из переписок",PM + Игорь,ждем proof
AOC15,QA proof админки,"QA отчет подтверждает весь маршрут без ручного поиска","qa_run_id; screenshots; verdict; blockers",PASS/WARN/STOP report,"Admin layer принят или возвращен с дефектами","Нет QA run или только устное работает",QA + PM,ждем proof
