element,required,where_shown,minimal_proof,owner,if_missing,status
Terms,"Paid text consultation rules; roles; limitations; account; no platform bypass","Footer; checkout; signup/account; FAQ","HTML page; route; checkout link; approval status","PM + founder/legal","Client buys without service rules",yellow
Privacy,"Profile; messages; consultations; support; analytics; email events; access roles","Footer; signup; checkout; account","HTML page; data inventory; geography/provider note","PM + founder/legal","No data transparency",yellow
Cookies/tracking,"UTM; source/session; analytics; ads/preflight tracking","Footer; notice; privacy","Notice plus analytics fields map","PM + Igor + founder/legal","CAC/LTV tracking blind",yellow
Refund/support review,"Review window; reasons; owner; support_case link","Checkout; FAQ; support; Terms","Refund wording; support route; approval log","Founder/legal/payment + PM","Disputes unmanaged",red
Service disclaimer,"Self-reflection/entertainment; no guarantees; no medical/legal/financial advice","LP; checkout; FAQ; email footer","Visible before payment; no misleading claims","PM + founder/legal","Result guarantee risk",yellow
Checkout consent,"What client buys; price/currency; delivery time; one-time/subscription status; links","Checkout before payment","Screen plus saved consent/version proof","Founder/legal/payment + Igor","Cannot accept payment",red
FAQ/trust,"How service works; who answers; timing; quality; support; limitations","LP; FAQ; account; support","FAQ linked to real paid-flow/support route","PM + founder","Client expectations unclear",yellow
Support/contact,"Public contact route; order lookup; case creation; owner; response expectation","Footer; FAQ; account; order page; email footer","support_case_id proof on safe order","PM + Igor + QA","Support promise not proven",red
Expert terms/code,"SLA; quality; safety; no bypass; sanctions; admission","Expert school; workspace; onboarding","E01 sees/accepts rules","PM + Ksenia","Expert contour unmanaged",yellow
Email legal footer,"Service name; support link; reason; disclaimer/opt-out where applicable","Email templates/no-send preview","No-send preview with footer","PM + Igor + QA","Emails cannot safely launch",red
Ad/influencer disclosure,"Testimonials; sponsored content; no fake reviews; no guaranteed claims","Marketing preflight; creatives; influencer scripts","Creative checklist approved","PM + founder/legal","Advertising risk",yellow
Final approval log,"Seller; provider; descriptor; refund; geography; publish permission","Founder decision log/release gate","Approval record with date/version","Founder/legal/payment","Checkout and traffic remain STOP",red
