block,status,pm_can_prepare,needs_decision,placement,green_proof,next_action
Terms of Service,yellow,"структура paid consultation, ограничения, support path, переменные","legal seller, governing law, legal review","footer; registration; checkout; receipt","HTML-ready Terms + approval + checkout link proof","подготовить версию с переменными"
Privacy Policy,yellow,"аккаунт, сообщения, роли, платежные события, email/no-send, analytics","data controller, providers, trackers, retention","footer; registration; checkout; account settings","privacy совпадает с backend/email/payment stack","сверить с email и admin/chat"
Cookie / tracking notice,yellow,"login cookies, analytics, marketing pixels, consent logic","analytics/ads tools, launch geography","first visit; footer; privacy center","trackers and consent proof before traffic","связать с marketing preflight"
Service disclaimer,yellow,"короткий и полный текст ограничения услуги","legal-reviewed final wording","landing; expert profile; checkout; FAQ; Terms; emails","disclaimer виден до оплаты","добавить в checkout trust"
Refund / satisfaction review,red,"retry/credit/refund review scenarios linked to support","refund window, review SLA, owner, provider limits","checkout; Terms; FAQ; support; receipt","refund wording совпадает с support case flow","подготовить варианты для утверждения"
Checkout consent,red,"чекбокс: цена, формат, срок ответа, Terms, Privacy, disclaimer, refund review, one-time","provider UI, final price/currency, descriptor","checkout; payment step","checkout screenshot + test order id + QA verdict","отдать Игорю как acceptance"
One-time payment notice,yellow,"MVP one-time purchase wording","final payment model and provider rules","checkout; receipt; FAQ","checkout clearly shows one-time purchase","recurring billing оставить будущим gate"
FAQ before payment,yellow,"что покупаю, кто отвечает, срок, языки, support, refund, limitations, data","SLA/refund/geography/translation rules","landing; checkout; help/support","пользователь понимает услугу без PM explanation","связать с оффером и дизайном"
Email / receipt wording,yellow,"receipt/order/status/support texts aligned with checkout","email provider, payment provider, no-send proof, unsubscribe","receipt; status emails; support emails; account notifications","no-send preview с корректными переменными","связать с email-задачей июня"
Expert / advisor rules,yellow,"SLA, запреты, качество, privacy, platform boundary","регламент, 5 expert admissions, sanctions, payouts","training; admin; advisor rules; quality review","эксперт прошел правила и принят пробный ответ","соединить с бордом допуска экспертов"
