"Point","Why","Visible","Proof","Owner","Status","Next"
"order appears in admin","managed order entity","order id, client, date, amount/test mode, status","orders list screenshot + id","Igor/QA","red","run safe test order"
"question bound to order","expert context","question, topic, client data, source","order card screenshot","Igor","red","check question binding"
"expert/agent/profile assigned","no orphan order","assignee, profile, assignment mode/time","assignment screenshot + status log","PM/Admin/Igor","red","assign test performer"
"performer task visible","expert can work inside site","task, deadline, question, profile, history, answer button","workspace screenshot","Igor/QA","red","bind workspace proof"
"SLA/deadline visible","detect overdue before complaint","deadline, elapsed time, overdue status, next owner","timer/deadline screenshot","Ops/QA","red","set SLA for test order"
"expert answer recorded","prove client received result","answer text, author, time, delivery status, history","admin and client answer screenshots","Expert/QA","red","send trial answer"
"no-send events visible","avoid real emails in test","order, assignment, deadline, answer, support events","event queue/log screenshot","Igor/QA","red","enable no-send proof"
"support case bound","resolve complaint with context","ticket, client, order, chat, reason, owner, status","support case screenshot","Support/QA","red","create problem state"
"problem resolution recorded","decision trace","resolution, reason, comment, date, owner","resolution state screenshot","Support/PM","red","check manual resolution"
"performer compensation visible","money transparency","amount, rate, deductions, accrual status, order link","accrual screenshot or out-of-scope note","Admin/PM","red","confirm first test scope"
"audit log available","investigate errors","status, assignment, answer, support changes","audit trail screenshot/log","Igor/QA","red","show minimum status log"
"final order status clear","PM launch decision","created/assigned/answered/issue/resolved/closed","final order card screenshot","QA/PM","red","fill QA report"
